source,raw_lines,valid_iocs,unique_to_source,shared_with_others,overlap_pct,fetch_status,bytes,fetched_at
FadeMind,2189,2189,2112,77,3.5,skipped,,
DandelionSprout,12576,11988,11910,78,0.7,skipped,,
QuidsUp,138,138,117,21,15.2,skipped,,
Mitchell_Krog,1386,1384,1367,17,1.2,skipped,,
Miroslav_Stampar,18150,18146,17183,963,5.3,skipped,,
MetaMask,1072,1071,1069,2,0.2,skipped,,
The_Block_List_Project_Fraud,196082,195998,195627,371,0.2,skipped,,
The_Block_List_Project_Ransomware,1904,1904,1793,111,5.8,skipped,,
GlobalAntiScamOrg,11199,11193,11188,5,0.0,skipped,,
The_Block_List_Project_Scam,1274,1274,1195,79,6.2,skipped,,
KADhosts,47493,47493,26487,21006,44.2,skipped,,
CERT_Polska,132657,132657,1616,131041,98.8,skipped,,
Hexxium_Creations,3888,3881,3763,118,3.0,skipped,,
USOM,471563,450421,448581,1840,0.4,skipped,,
OpenPhish,300,239,136,103,43.1,skipped,,
Phishing_Army,145046,145046,13978,131068,90.4,skipped,,
ThreatFox,61656,57791,56886,905,1.6,skipped,,
StopForumSpam_ToxicDomains,72607,72558,72492,66,0.1,skipped,,
Abuse.ch,682,682,359,323,47.4,skipped,,
Redflag,36687,36687,36667,20,0.1,skipped,,
